Country,Development,Demography,Health Care,Urbanisation
Indonesia,0.17041324198021798,0.21995230873539562,0.7497025580011897,0.11699847920520398
Iran,0.06384164334291612,0.2262154271284011,0.6876859012492563,0.0014103366610531336
Iraq,0.1978824989551803,0.5820312479737436,0.7080606781677571,0.01131966231472528
Ireland,2.8495079849546016e-05,0.07337559772601653,0.4498810232004759,0.048402738059880324
Israel,0.0034479046617950913,0.18723136591254264,0.40214158239143366,0.055226462361889765
Italy,0.009928952267575144,0.011379757772486664,0.3570791195716835,0.011435820223361603
Jamaica,0.14364369752156134,0.17154865004356779,0.6478286734086852,0.11331371984499977
Japan,0.001823685110370945,0.03293886083346739,0.3868233194527066,0.04951801952332844
Jordan,0.1477184939400464,0.4429241398205608,0.7080606781677571,0.04520585135466373
Kazakhstan,0.04712452983118246,0.2153495143860073,0.03807257584770972,0.0956876244216245
Kenya,0.4103291498334622,0.6434512654700268,0.7080606781677571,0.6118899937617353
Kiribati,0.3161560770506959,0.45341058788366834,0.6091612135633551,0.13088231001851341
Korea,0.0034479046617950913,0.02836978013139072,0.15229030339083868,0.004162136648197128
Korea,0.0034479046617950913,0.02836978013139072,0.15229030339083868,0.05749401270847944
Korea,0.0034479046617950913,0.02836978013139072,0.35707911957168326,0.004162136648197128
Korea,0.0034479046617950913,0.02836978013139072,0.35707911957168326,0.05749401270847944
Korea,0.0034479046617950913,0.09901482606158239,0.15229030339083868,0.004162136648197128
Korea,0.0034479046617950913,0.09901482606158239,0.15229030339083868,0.05749401270847944
Korea,0.0034479046617950913,0.09901482606158239,0.35707911957168326,0.004162136648197128
Korea,0.0034479046617950913,0.09901482606158239,0.35707911957168326,0.05749401270847944
Kuwait,0.05433378503311769,0.3002016475123441,0.5902736466389054,0.1245778096682645
Kyrgyzstan,0.22234077582604064,0.3590336124555564,0.21475312314098752,0.4060592099301862
Lao PDR,0.3553178151239219,0.4207163496584977,0.6876859012492563,0.43320479513825816
Latvia,0.022875216879218827,0.01609425708219021,0.09295062462819752,0.020351055335458713
Lebanon,0.1382992869897798,0.21191260516082533,0.43367043426531815,0.030799485536790794
Liberia,0.7113511733640656,0.6487759848502206,0.8365556216537775,0.16563684340910498
Libya,0.16894732842795818,0.30748477205518004,0.3146936347412254,0.001883894899763759
Lithuania,0.015513987918086116,0.008790467465983177,0.014872099940511621,0.02245801586981967
Luxembourg,0.0028495079849546016,0.03890581105754156,0.18218322427126712,0.04521908298092243
Madagascar,0.5531971479591189,0.6559559324831693,0.9757584770969662,0.3895756123838261
Malawi,0.6525879864743355,0.7828504951586386,0.7287328970850685,0.8821908547371117
Malaysia,0.05770253669533059,0.21753101156440305,0.6091612135633551,0.0003940484400659969
Maldives,0.1532402071908916,0.5025780208224236,0.23795359904818564,0.34041088904369443
Mali,0.8299793568977086,0.8983669957669863,1.0,0.29572750904277273
Malta,0.00923240587125291,0.02677866342806627,0.19274241522903035,0.07243366664743434
Mauritius,0.06474398753815185,0.06808309550740811,0.3570791195716835,0.32276468988351736
Mexico,0.09366649358544092,0.22319770925749033,0.6876859012492563,0.0019575255890823123
Micronesia,0.3344214232342549,0.38756384454797327,0.38682331945270665,0.7217332464745669
Moldova,0.16458758121097766,0.08157397002362798,0.09295062462819752,0.2911263903469148
Mongolia,0.13176124922430063,0.32501863120322744,0.025133848899464628,0.019028374084057432
Montenegro,0.047900229227086845,0.03921587369388172,0.27498512790005947,0.026677438983306125
Morocco,0.2189973531236941,0.21225682980430438,0.7709696609161214,0.053435198768688116
Mozambique,0.7695222958169221,0.8030057383479033,0.85901249256395,0.4132881656133381
Myanmar,0.39901027089322577,0.23411956145620694,0.8143961927424151,0.528561572997182
Namibia,0.27366674687503956,0.5487918399025405,0.46638905413444376,0.1801096556021048
Nepal,0.4103291498334622,0.3833352931448656,0.9518143961927421,0.8021782772864052
Netherlands,7.915299958207227e-05,0.012606648003247747,0.19274241522903035,0.048649480589936116
New Zealand,0.0010258228745836692,0.04431929769050011,0.4498810232004759,0.020600376812862507
Nicaragua,0.2626106558934159,0.33948564023436134,0.8143961927424151,0.08544798464558252
Niger,1.0,1.0,0.9518143961927421,0.8972168397614044
North Macedonia,0.10258228745836555,0.041171270219922146,0.22620464009518143,0.09060774312483996
Norway,0.0007123769962386504,0.03079058322630942,0.2879238548483046,0.00589655787974901
Oman,0.03490647281569379,0.5658692431038143,0.6676085663295658,0.012640503500746783
Pakistan,0.45478464051873696,0.47817285294634126,0.8817668054729325,0.39983783706861187
Panama,0.06565266397335393,0.20864977588421513,0.5353955978584175,0.022318351930667335
Paraguay,0.14635389622725134,0.3286004680141288,0.7287328970850685,0.0598604582801054
Peru,0.10258228745836555,0.1928801026445243,0.6676085663295658,8.568054006100375e-05
Philippines,0.16314699661858376,0.3387729355757788,0.792534205829863,0.22373724151958074
Poland,0.014212712604956896,0.035884437486266116,0.0481856038072576,0.07204898238067814
Portugal,0.02507883638758378,0.01420791170044241,0.3570791195716835,0.03543976110467233
Qatar,0.026218639581565617,0.595033050773662,0.7497025580011897,0.11525961621120111
Romania,0.047900229227086845,0.027966333927364497,0.059488399762046444,0.13154727256956467
