iso,Development,Health Care,Population Spread,Mortality
218,0.758,1.5,63.82100000000001,0.1916972266115303
012,0.759,1.9,72.62899999999998,0.1604399587773727
604,0.759,1.6,77.907,0.2081987357792701
807,0.759,4.4,57.963,0.3095639225748731
051,0.76,4.2,63.149,0.29727260417455553
170,0.7609999999999999,1.5,80.778,0.22163366404352144
076,0.7609999999999999,2.2,86.569,0.2309494991362667
308,0.763,3.7,36.272,0.25027978964661346
764,0.765,2.1,49.949,0.3145312324072385
484,0.767,1.5,80.156,0.19565824363274434
070,0.769,3.5,48.245,0.3858102805940995
028,0.7759999999999999,3.8,24.599,0.2238215620655923
659,0.777,,,
192,0.778,5.2,77.03699999999998,0.4154168794873668
144,0.78,3.6,18.476,0.2381910322085241
268,0.7859999999999999,2.6,58.632,0.3707781793807536
008,0.7909999999999999,2.9,60.319,0.3333591361488529
188,0.794,1.2,79.34,0.25647392275199843
591,0.795,2.3,67.709,0.22997462698165996
480,0.7959999999999999,3.4,40.793,0.274150969149464
364,0.797,1.5,74.898,0.1501559150768617
780,0.799,3.0,53.184,0.2544857641997779
688,0.799,5.7,56.092,0.4342526452800816
690,0.8009999999999999,3.6,56.691,0.21427663928136606
458,0.804,1.9,76.036,0.15526367566934474
044,0.805,2.9,83.025,0.17529629819813805
792,0.807,2.7,75.143,0.21095468479193485
414,0.8079999999999999,2.0,100.0,0.0705092925563283
858,0.8079999999999999,2.8,95.334,0.4621678001554714
052,0.813,5.8,31.147,0.4730407009964462
585,0.8140000000000001,4.8,79.93,
642,0.816,6.3,53.99800000000001,0.4799524981670121
100,0.816,6.8,75.008,0.5159411612607563
499,0.816,4.0,66.813,0.3678674337726199
398,0.8170000000000001,6.7,57.428,0.17716712175295196
112,0.8170000000000001,11.0,78.595,0.4033313248506281
643,0.8240000000000001,8.2,74.433,0.3799731742410759
032,0.83,5.0,91.87,0.29646125894707936
512,0.8340000000000001,1.6,84.539,0.06931872252256889
191,0.8370000000000001,5.6,56.947,0.5592822488154006
048,0.838,2.0,89.287,0.06809652112768742
096,0.845,2.7,77.62899999999998,0.12238582631734428
348,0.845,7.0,71.351,0.4911293348876782
152,0.847,2.2,87.564,0.3184800849090875
634,0.848,1.2,99.135,0.04638174042953019
620,0.85,3.4,65.211,0.6481879824505303
428,0.8540000000000001,5.8,68.142,0.6099920581725878
682,0.857,2.7,83.844,0.0866770527558974
020,0.857,2.5,88.06200000000003,
703,0.857,5.8,53.726000000000006,0.3903283529521283
784,0.866,1.2,86.522,0.04325790945134377
440,0.8690000000000001,7.3,67.679,0.6180617770999094
300,0.872,4.3,79.058,0.6866923378271079
616,0.872,6.5,60.058,0.4819746906455567
196,0.873,3.4,66.81,0.354163781430084
233,0.882,5.0,68.88,0.569364605563011
380,0.883,3.4,70.438,0.7022296952909667
470,0.885,4.7,94.612,0.5173819009210312
203,0.8909999999999999,6.5,73.792,0.4865398060643006
250,0.8909999999999999,6.5,80.444,0.6214519892751281
724,0.893,3.0,80.321,0.6329621150638914
705,0.902,4.6,54.541,0.5615885534581513
376,0.906,3.1,92.418,0.33324339892658755
408,0.906,11.5,81.459,0.21516832590091306
408,0.906,11.5,61.899,0.21516832590091306
408,0.906,13.2,81.459,0.21516832590091306
408,0.906,13.2,61.899,0.21516832590091306
442,0.909,4.8,90.981,0.4198679648547253
040,0.914,7.6,58.297,0.5529353401433015
392,0.915,13.4,91.616,0.8519115924517883
438,0.917,,14.338,
056,0.919,6.2,98.001,0.5685635723438266
826,0.92,2.8,83.398,0.5269282522960371
840,0.92,2.9,82.256,0.4398465026887081
840,0.92,2.9,95.721,0.4398465026887081
554,0.921,2.8,86.538,0.4246707537974628
124,0.922,2.7,81.411,0.4839884194068183
246,0.925,4.4,85.382,0.5867320474700747
208,0.93,2.5,87.874,0.5108740253820379
528,0.934,4.7,89.145,0.5182666224759933
528,0.934,4.7,91.49,0.5182666224759933
528,0.934,4.7,100.0,0.5182666224759933
702,0.935,2.4,100.0,0.29311783144411546
752,0.937,2.6,87.431,0.5591581620325473
352,0.938,3.2,93.813,0.4183707854894894
036,0.938,3.8,86.012,0.4430517062912646
344,0.939,,,0.5136829758973621
276,0.939,8.3,77.312,0.6398935826692623
372,0.942,2.8,63.17,0.3553133500515515
756,0.946,4.7,73.797,0.5474547873148387
578,0.954,3.9,82.24799999999998,0.4691136192638625
833,,1.58427938375929,52.588,
492,,13.8,100.0,
520,,5.0,100.0,
674,,3.8,97.226,
706,,0.9,44.971,0.05963097884556182
533,,,43.411,0.31029833786415073
016,,,87.15299999999998,
060,,,100.0,
136,,,100.0,
234,,,42.06399999999999,
292,,,100.0,
304,,,86.816,
316,,,94.78,0.24344962491407396
580,,,91.618,
540,,,70.683,0.20832418056557594
630,,,93.578,0.5516676935737457
258,,,61.834,0.20792014938199108
796,,,93.098,
798,,,62.387,
092,,,47.723,
180,,,,0.06450320866091358
531,,,,0.4355946261825213
732,,,,0.07304961044401485
312,,,,0.5443803868535776
254,,,,0.11791609673237675
410,,,,0.3841312421083948
446,,,,0.27863828531456303
474,,,,0.624602103009663
175,,,,0.10564789049907383
562,,,,0.05098373585130515
638,,,,0.3194249013702976
158,,,,0.404595258721115
850,,,,0.4414237179548476
